year,rh,airt,vpd,vpd_mean,rh_mean,airt_mean,sum_vpd_anomaly,sum_rh_anomaly,sum_airt_anomaly
1998,72.38302172814552,18.78841346153846,0.6534455543745257,0.7310658126632001,71.13932615432367,19.519995798242416,-0.07762025828867447,1.243695573821853,-0.7315823367039549
1999,69.8391,19.83694605009634,0.8028418060636403,0.7310658126632001,71.13932615432367,19.519995798242416,0.07177599340044016,-1.300226154323667,0.31695025185392467
2000,76.58559693318729,17.425439847836426,0.5151302931586972,0.7310658126632001,71.13932615432367,19.519995798242416,-0.21593551950450296,5.446270778863621,-2.09455595040599
2001,73.19254823685961,18.873558837541687,0.6526573396572444,0.7310658126632001,71.13932615432367,19.519995798242416,-0.07840847300595577,2.053222082535939,-0.6464369607007292
2002,74.58210372534697,19.206462752836703,0.6477065383193769,0.7310658126632001,71.13932615432367,19.519995798242416,-0.08335927434382329,3.4427775710232993,-0.3135330454057126
2003,78.47529411764705,18.56046511627907,0.47824787987423323,0.7310658126632001,71.13932615432367,19.519995798242416,-0.2528179327889669,7.335967963323384,-0.9595306819633471
2004,70.4137266023823,19.00397050482133,0.6967220719863253,0.7310658126632001,71.13932615432367,19.519995798242416,-0.034343740676874845,-0.7255995519413716,-0.5160252934210874
2005,73.88173469387755,20.029693877551022,0.6944682858934035,0.7310658126632001,71.13932615432367,19.519995798242416,-0.03659752676979666,2.742408539553878,0.5096980793086061
2006,70.51541541541542,18.864164164164166,0.713484245717967,0.7310658126632001,71.13932615432367,19.519995798242416,-0.017581566945233162,-0.6239107389082506,-0.6558316340782504
2007,66.16658137154555,19.517451381780962,0.8442694784972278,0.7310658126632001,71.13932615432367,19.519995798242416,0.11320366583402763,-4.972744782778122,-0.002544416461454091
2008,69.642138671875,18.262109375,0.6953551580304617,0.7310658126632001,71.13932615432367,19.519995798242416,-0.03571065463273848,-1.4971874824486662,-1.2578864232424145
2009,66.12725409836065,17.281967213114754,0.6928809570306119,0.7310658126632001,71.13932615432367,19.519995798242416,-0.03818485563258822,-5.012072055963017,-2.238028585127662
2010,64.95981818181818,20.292954545454545,0.9392620401031677,0.7310658126632001,71.13932615432367,19.519995798242416,0.20819622743996757,-6.1795079725054904,0.7729587472121295
2011,72.77754098360656,20.477214566929135,0.7327096875649296,0.7310658126632001,71.13932615432367,19.519995798242416,0.0016438749017294585,1.6382148292828873,0.9572187686867188
2012,74.11718976339932,19.649975857073876,0.6878349990593722,0.7310658126632001,71.13932615432367,19.519995798242416,-0.04323081360382797,2.977863609075655,0.12998005883146035
2013,77.62516853932584,19.698202247191013,0.5603994417128486,0.7310658126632001,71.13932615432367,19.519995798242416,-0.17066637095035153,6.485842385002172,0.17820644894859683
2014,70.54101427868045,19.51230920728705,0.7559304619865393,0.7310658126632001,71.13932615432367,19.519995798242416,0.024864649323339205,-0.5983118756432191,-0.007686590955366057
2015,72.31834381551363,20.507023060796644,0.7466522365130344,0.7310658126632001,71.13932615432367,19.519995798242416,0.015586423849834219,1.1790176611899597,0.9870272625542285
2016,69.38661971830986,21.82450099800399,0.9019701743986224,0.7310658126632001,71.13932615432367,19.519995798242416,0.17090436173542223,-1.7527064360138098,2.304505199761575
2017,72.37364897178384,18.95361560418649,0.6813289471988309,0.7310658126632001,71.13932615432367,19.519995798242416,-0.049736865464369284,1.2343228174601677,-0.5663801940559274
2018,72.25721873491067,19.90900814566363,0.7334617604761169,0.7310658126632001,71.13932615432367,19.519995798242416,0.0023959478129167433,1.1178925805869966,0.3890123474212146
2019,65.26551724137931,19.981655034895315,0.8898990395158455,0.7310658126632001,71.13932615432367,19.519995798242416,0.15883322685264534,-5.873808912944355,0.4616592366528991
2020,62.167474258025436,21.443787303309822,1.060835966814941,0.7310658126632001,71.13932615432367,19.519995798242416,0.3297701541517408,-8.971851896298233,1.9237915050674061
2021,74.34837581209395,20.09100580270793,0.6927580078659382,0.7310658126632001,71.13932615432367,19.519995798242416,-0.038307804797261924,3.2090496577702794,0.5710100044655135
2022,68.54070796460176,20.008,0.8063929447661013,0.7310658126632001,71.13932615432367,19.519995798242416,0.0753271321029012,-2.598618189721904,0.4880042017575832
