year,lai_ann,lai_med,se_ann,upper,lower,season
1998,1.9978787878787878,1.69,0.045,1.7349999999999999,1.645,nongrowing
1999,2.062922077922078,1.85,0.04,1.8900000000000001,1.81,nongrowing
2005,1.7304545454545455,1.205,0.05,1.2550000000000001,1.155,nongrowing
2006,2.0461363636363634,1.7349999999999999,0.05,1.785,1.6849999999999998,nongrowing
2007,2.282142857142857,2.065,0.06,2.125,2.005,nongrowing
2008,2.4390151515151515,2.295,0.05,2.3449999999999998,2.245,nongrowing
2009,1.9541379310344829,1.61,0.05,1.6600000000000001,1.56,nongrowing
2010,2.11348623853211,1.7,0.06,1.76,1.64,nongrowing
2011,2.0627272727272725,1.8,0.06,1.86,1.74,nongrowing
2012,2.3531060606060605,2.2249999999999996,0.07,2.2949999999999995,2.155,nongrowing
2013,2.4396330275229356,1.84,0.07,1.9100000000000001,1.77,nongrowing
2014,2.212090909090909,2.11,0.065,2.175,2.045,nongrowing
2015,2.669318181818182,2.63,0.08,2.71,2.55,nongrowing
2016,2.363984375,2.04,0.07,2.11,1.97,nongrowing
2017,2.111428571428571,1.975,0.09,2.065,1.885,nongrowing
2018,2.1933502538071066,2.09,0.09,2.1799999999999997,1.9999999999999998,nongrowing
2019,2.286590909090909,2.205,0.09,2.295,2.115,nongrowing
2020,2.250203045685279,1.88,0.09,1.97,1.7899999999999998,nongrowing
2021,2.2038983050847456,2.29,0.08,2.37,2.21,nongrowing
2022,1.9974125874125874,1.8,0.08,1.8800000000000001,1.72,nongrowing
1998,3.65219696969697,3.56,0.09,3.65,3.47,growing
1999,3.9929885057471264,3.83,0.1,3.93,3.73,growing
2005,4.746060606060606,4.619999999999999,0.1,4.719999999999999,4.52,growing
2006,4.00810606060606,4,0.08,4.08,3.92,growing
2007,4.695984848484849,4.56,0.1,4.659999999999999,4.46,growing
2008,4.753181818181818,4.675,0.11,4.785,4.5649999999999995,growing
2009,3.7507070707070707,3.725,0.09,3.815,3.6350000000000002,growing
2010,4.276033057851239,4.18,0.13,4.31,4.05,growing
2011,4.429415584415584,4.355,0.14500000000000002,4.5,4.210000000000001,growing
2012,4.898,4.805,0.11499999999999999,4.92,4.6899999999999995,growing
2013,4.281818181818182,4.23,0.09,4.32,4.140000000000001,growing
2014,4.807348484848485,4.76,0.11,4.87,4.6499999999999995,growing
2015,4.583669724770642,4.6,0.12,4.72,4.4799999999999995,growing
2016,4.612385321100917,4.73,0.11,4.840000000000001,4.62,growing
2017,4.494067796610169,4.44,0.17,4.61,4.2700000000000005,growing
2018,4.646993464052287,4.6,0.17,4.77,4.43,growing
2019,4.678571428571429,4.655,0.13,4.785,4.525,growing
2020,4.738560606060606,4.695,0.14,4.835,4.555000000000001,growing
2021,4.378484848484849,4.44,0.12,4.5600000000000005,4.32,growing
2022,4.5853636363636365,4.65,0.12,4.7700000000000005,4.53,growing
